name,resultv,latency,inlen,outlen,mem,tprocess2,tprocess3,tkafka,kafkalen,tdatabase,resulsetlen,numthread,tranrate,loadcpu,freemem
1678830166335,200,1008,16902,8459,29975.171875,63,31,882,274,32,17,1,20,0.02502034285560175,551968768
1678830172342,200,1115,16682,15074,30246.484375,115,125,844,117,31,13466,1,20,0.022103431527684004,531398656
1678830178336,200,596,10362,5189,31951.375,416,31,118,203,31,17,1,20,0.029863108425050366,538923008
1678830184329,200,846,862,439,19014.921875,86,16,713,125,31,17,1,20,0.01951039014120736,530903040
1678830190342,200,455,8022,4019,20745.09375,91,78,254,283,32,17,1,20,0.020838206000503113,503848960
1678830196337,200,216,11202,6809,22875.5,62,69,51,13,34,2416,1,20,0.019152045875676888,498245632
1678830202333,200,264,8462,7406,27214.515625,172,17,40,36,35,6350,1,20,0.017312069716763714,477646848
1678830208333,200,1005,15222,9138,29673.28125,88,59,767,16,90,3054,1,20,0.015454988175326726,491569152
1678830214335,200,709,14382,7199,31352.7109375,87,73,513,238,36,17,1,20,0.018296049705971817,474619904
1678830220343,200,350,1042,4875,38369.265625,119,32,106,66,93,8708,1,20,0.018316097613354287,490098688
1678830226336,200,1146,19722,15811,24728.046875,196,21,826,100,103,11900,1,20,0.019475875541464658,471937024
1678830232334,200,1087,13042,6529,26611.4765625,121,225,708,292,33,17,1,20,0.023433132064183234,490561536
1678830238330,200,880,14222,7119,28398.96875,124,17,706,232,33,17,1,20,0.01950847515582059,474820608
1678830244332,200,275,3122,7743,40726.8984375,160,8,52,105,55,12364,1,20,0.0196064200340897,469082112
1678830250342,200,204,17462,8739,42404.1328125,101,7,63,124,33,17,1,20,0.015349912177217135,458895360
1678830256330,200,500,15202,13453,28383.6796875,201,27,153,98,119,11704,1,20,0.018652606958269115,465367040
1678830262344,200,811,16002,9528,30699.9765625,82,5,688,16,36,3054,1,20,0.020399730266606523,471203840
1678830268344,200,629,16622,8319,32334.8828125,519,9,68,260,33,17,1,20,0.019776727309277924,449097728
1678830274345,200,2089,142,79,34247.890625,81,133,1807,220,68,17,1,20,0.018132336063415216,505032704
1678830280346,200,1694,202,6023,20079.34375,390,116,1030,100,158,11844,1,20,0.019372568324227835,540295168
1678830286351,200,1893,17902,9083,22011.3046875,119,35,1665,2,74,265,1,20,0.027671046831394642,595271680
1678830295601,200,1480,9442,4729,23666.109375,1149,118,87,282,126,17,1,20,0.011763866824057435,654606336
1678830301612,200,518,14382,7199,25244.5859375,303,52,58,252,105,17,1,20,0.019801257304435643,669655040
1678830307616,200,595,19302,9659,27064.0703125,302,95,114,253,84,17,1,20,0.018135488105117815,662638592
1678830313612,200,466,1642,829,28706.0234375,212,12,118,246,124,17,1,20,0.018154744016781472,660418560
1678830319616,200,710,6402,3209,30197.0078125,618,12,41,123,39,17,1,20,0.02317486581196498,646254592
1678830325615,200,1461,10522,5269,31863.7734375,1039,210,117,258,95,17,1,20,0.025583195339624328,616259584
