name,resultv,latency,inlen,outlen,mem,tprocess2,tprocess3,tkafka,kafkalen,tdatabase,resulsetlen,numthread,tranrate,loadcpu,freemem
1678840171786,200,139746,13602,373340,144302.0234375,10979,12519,6625,279,109623,733078,6,60,0.18391027268622093,536375296
1678840215270,200,121797,2302,367690,405468.28125,10839,7814,297,228,102847,733078,6,60,0.36477297939556863,591163392
1678840288910,200,61781,7182,370130,339501.5859375,13615,5315,484,11,42367,733078,1,20,0.4662296855252336,485765120
1678840354214,200,22723,1242,367160,116320.6015625,62,31,453,144,22177,733078,1,20,0.3836217477099453,374845440
1678840380038,200,23315,9842,371460,124580.03125,469,94,141,41,22611,733078,1,20,0.26385990254017505,328507392
1678840406550,200,28549,19462,376270,284381.03125,247,118,224,221,27960,733078,1,20,0.2556290047981877,284131328
1678840438437,200,23659,7842,370460,300882.6640625,290,1580,250,67,21539,733078,1,20,0.21365623951331855,310063104
1678840465317,200,20212,6242,369660,186225.53125,142,56,50,183,19964,733078,1,20,0.24670210028762482,321175552
1678840488692,200,24863,6442,369760,374735.046875,101,132,227,32,24403,733078,1,20,0.2842458503757003,606584832
1678840516784,200,19452,7302,370190,319501.546875,100,46,134,284,19172,733078,1,20,0.2412589801027548,631406592
1678840539393,200,29551,11162,372120,88182.3359375,89,146,577,106,28739,733078,1,20,0.2890598507578133,601497600
1678840572048,200,23399,5162,369120,288937.53125,99,276,129,257,22895,733078,1,20,0.2065610332923445,527720448
1678840961835,200,61773,11302,372190,221874.53125,173,789,6298,70,54513,733078,3,30,0.022074847837593017,563187712
1678840961746,200,62081,19342,376210,211127.1328125,6078,541,672,49,54790,733078,3,30,0.022074847837593017,562606080
1678840962175,200,62810,842,366960,201411.75,6094,431,610,83,55675,733078,3,30,0.022074847837593017,550989824
1678841030178,200,56637,15962,374520,152785.5703125,125,2052,1969,44,52491,733078,3,30,0.41675505445459826,473403392
1678841031302,200,58460,9142,371110,121567.546875,406,1016,3375,224,53663,733078,3,30,0.06791632118086857,404242432
1678841030469,200,60383,19142,376110,130278.1171875,422,1782,3437,21,54742,733078,3,30,0.41675505445459826,486055936
1678841093097,200,21473,9982,371530,89770.03125,157,62,125,177,21129,733078,3,30,0.4279501842832149,452665344
1678841097087,200,58793,10702,371890,264884.8828125,4563,6965,3798,195,43467,733078,3,30,0.34199616371006797,427360256
1678841095946,200,67993,4062,368570,387251.8984375,4282,14734,4095,207,44882,733078,3,30,0.29459838026930013,437837824
1678841120677,200,59006,6902,369990,352466.6328125,15862,10834,6199,8,26111,733078,3,30,0.22245002737109879,503570432
1678841168834,200,33886,242,366660,718032.9921875,11715,264,51,51,21856,733078,3,30,0.41855605613410146,602894336
1678841170060,200,63567,10402,371740,95195.59375,23599,3586,4811,77,31571,733078,3,30,0.3132376685675615,591409152
1678841186885,200,62620,13022,373050,211184.515625,11095,10405,3170,8,37950,733078,3,30,0.31784888008930134,556609536
1678841208916,200,54771,3602,368340,100499.625,13835,3432,460,27,37044,733078,3,30,0.3170437745016713,535805952
1678841239865,200,51684,11422,372250,350736.53125,11779,2801,438,273,36666,733078,3,30,0.46044620914602846,532840448
1678841255706,200,51152,15942,374510,441899.21875,14626,243,91,200,36192,733078,3,30,0.40844548642673034,512712704
1678841272697,200,51491,18262,375670,555530.7890625,11927,7639,5866,279,26059,733078,3,30,0.3526657859060576,437870592
1678841297904,200,48604,10242,371660,229158.1015625,13427,9976,537,158,24664,733078,3,30,0.37535344807532256,656809984
1678841313278,200,86559,4162,368620,208717.53125,20104,4022,5067,30,57365,733078,3,30,0.38585858733116524,636571648
1678841330510,200,86262,18102,375590,267767.1015625,13852,11559,7241,87,53610,733078,3,30,0.32269749540210135,525197312
1678841353409,200,64994,1862,367470,210946.140625,13401,517,402,84,50674,733078,3,30,0.2749788627022556,426160128
1678841406430,200,42018,8902,370990,352521.53125,7074,6177,2706,281,26061,733078,3,30,0.37990069677980887,354004992
1678841423060,200,68529,5422,369250,312164.3203125,11945,13951,1364,110,41269,733078,3,30,0.2930397577403069,317804544
1678841426364,200,64311,19222,376150,189788.921875,13255,9227,152,38,41677,733078,3,30,0.11287405740229152,340951040
1678841455211,200,49450,722,366900,160301.0234375,14974,12,252,295,34212,733078,3,30,0.2988916724627801,883986432
1678841497957,200,32409,12742,372910,299784.03125,95,9032,702,112,22580,733078,3,30,0.4708428900764892,795086848
1678841498484,200,60760,12902,372990,108305.7421875,16729,587,5880,142,37564,733078,3,30,0.2417105514499175,794832896
1678841510955,200,59635,16902,374990,148955.7578125,337,19767,640,112,38891,733078,3,30,0.23253331243760514,796745728
1678841536731,200,48755,10602,371840,79081.1015625,15452,5967,152,103,27184,733078,3,30,0.3356364114198852,720007168
1678841574728,200,36874,18202,375640,72955.046875,3595,7485,797,213,24997,733078,3,30,0.4690516714182224,617148416
1678841645677,200,32889,2702,367890,635223.703125,109,8,202,236,32570,733078,4,30,0.1675993869780247,966754304
1678841645909,200,50594,3042,368060,165604.5703125,11215,13528,969,246,24882,733078,4,30,0.1714940558076922,688062464
1678841646437,200,112270,6902,369990,113886.953125,32581,5297,766,261,73626,733078,4,30,0.27930786557963266,516374528
1678841646165,200,122287,19822,376450,98856.6796875,33237,4641,1781,58,82628,733078,4,30,0.27930786557963266,516571136
1678841680743,200,102536,12322,372700,120463.703125,735,13001,1140,192,87660,733078,4,30,0.2573472351003251,476450816
1678841700856,200,126125,18962,376020,314183.1875,14423,9860,1072,66,100770,733078,4,30,0.3628036181820937,403337216
1678841776267,200,119521,12222,372650,197901.78125,14031,547,5064,252,99879,733078,4,30,0.35450190372599016,324190208
1678841786275,200,126961,16842,374960,333784.21875,15644,4232,524,61,106561,733078,4,30,0.11757481415113019,345362432
1678841791429,200,125680,842,366960,356656.0,20772,5053,626,139,99229,733078,4,30,0.06733650476482007,309526528
1678841835285,200,94162,2022,367550,168956.03125,14422,4624,7852,253,67264,733078,4,30,0.22657686039454628,286748672
1678841905921,200,136015,18982,376030,95153.53125,3959,21803,4696,216,105557,733078,4,30,0.2765973145585876,262791168
1678841922141,200,129878,19982,376530,173555.5234375,3928,11369,4759,261,109822,733078,4,30,0.38370698331182185,377823232
1678841926226,200,121027,16462,374770,80890.25,1187,7234,954,281,111652,733078,4,30,0.23999509216932147,502816768
1678841938009,200,119169,11342,372210,247341.5234375,10675,1954,375,241,106165,733078,4,30,0.012633127901829477,544243712
1678842204780,200,87316,16822,14123,24161.875,447,83852,2157,95,860,11424,4,30,0.3653743624178915,691523584
1678842205292,200,145249,13042,6529,28674.046875,78,144780,360,165,31,17,4,30,0.3653743624178915,691920896
1678842205025,200,180693,16102,8059,19455.3984375,141,180380,141,206,31,17,4,30,0.3653743624178915,691658752
1678842361669,200,42827,2242,4941,25268.828125,94,42405,297,49,31,7640,4,30,0.005831308485325045,944295936
1678842305375,200,106494,17382,8699,26648.515625,91,106010,359,122,34,17,4,30,0.019144728095309985,1040031744
1678842205525,200,214588,19142,9579,28697.7421875,251,214103,109,244,125,17,4,30,0.3653743624178915,690929664
1678842397133,200,52884,7202,7717,25516.296875,78,52571,188,61,47,8232,4,30,0.00948140125507434,893997056
1678842412699,200,118310,18042,9029,19661.015625,78,118029,125,136,78,17,4,30,0.01494685224584881,913473536
1678842431076,200,139904,682,349,20472.1875,93,139670,110,162,31,17,4,30,0.012726126987118553,882679808
1678842420021,200,168602,11502,5759,22337.453125,94,168305,172,195,31,17,4,30,0.009796119367189568,901902336
1678842539303,200,56393,4582,6589,29099.453125,94,55971,282,65,46,8596,4,30,0.005296465857526886,897662976
